Word,Mean_Burstiness,Mean_Frequency,Sum_Frequency,Category,Lexical_Class,Age,Log_Mean_Frequency,WordBank
I,0.0674147219691447,16.764705882352942,570,pronouns,Function,24 months,2.8192758362124346,0.43
a,0.1676336667615832,18.685714285714287,654,quantifiers,Function,24 months,2.927759289967785,0.29
about,-0.1579679910971807,2.6956521739130435,62,locations,Function,24 months,0.9916401691159419,0.06
above,,1.0,1,locations,Function,24 months,0.0,0.07
after,-0.1552643718243416,1.875,15,time_words,Function,24 months,0.6286086594223741,0.17
airplane,0.6977019059312631,8.0,8,vehicles,Noun,24 months,2.0794415416798357,0.72
all,0.0048402703310488,3.2857142857142856,92,quantifiers,Function,24 months,1.1895840668738364,0.32
alligator,,2.0,2,animals,Noun,24 months,0.6931471805599453,0.39
am,,1.0,2,helping_verbs,Verb,24 months,0.0,0.17
an,-0.0930753878363633,2.7333333333333334,41,quantifiers,Function,24 months,1.0055218656020977,0.04
and,0.096126925128127,14.636363636363637,483,connecting_words,Function,24 months,2.6835090921860925,0.28
animal,,1.0,4,animals,Noun,24 months,0.0,0.49
another,-0.1938881394885194,2.111111111111111,19,quantifiers,Function,24 months,0.7472144018302211,0.22
ant,,1.0,1,animals,Noun,24 months,0.0,0.42
any,-0.145622328068496,3.1538461538461537,41,quantifiers,Function,24 months,1.148622709242771,0.12
apple,-0.0836168243695844,2.0,22,food_drink,Noun,24 months,0.6931471805599453,0.84
applesauce,,2.0,2,food_drink,Noun,24 months,0.6931471805599453,0.43
are,0.0759888025289078,7.379310344827586,214,helping_verbs,Verb,24 months,1.9986801850353775,0.14
arm,,2.0,2,body_parts,Noun,24 months,0.6931471805599453,0.67
around,0.0056301673952217,1.5555555555555556,14,locations,Function,24 months,0.44183275227903923,0.13
asleep,,1.0,1,descriptive_words,Adjective,24 months,0.0,0.46
at,-0.0006731112198893,6.608695652173913,152,locations,Function,24 months,1.8883863049171268,0.19
awake,,1.0,1,descriptive_words,Adjective,24 months,0.0,0.35
away,,1.7142857142857142,12,locations,Function,24 months,0.5389965007326869,0.29
baby,0.3433302402198355,3.842105263157895,73,people,Noun,24 months,1.3460204619819507,0.87
back,0.3735786355849758,3.0588235294117645,52,locations,Function,24 months,1.1180303745252111,0.34
bad,0.7688010424546332,2.0,8,descriptive_words,Adjective,24 months,0.6931471805599453,0.4
ball,,1.5,3,toys,Noun,24 months,0.4054651081081644,0.95
banana,-0.0820061516469397,1.75,7,food_drink,Noun,24 months,0.5596157879354227,0.88
basement,,1.0,1,furniture_rooms,Noun,24 months,0.0,0.14
basket,-0.2695940176164014,2.0,8,household,Noun,24 months,0.6931471805599453,0.38
bat,-0.62939244629603,3.0,3,toys,Noun,24 months,1.0986122886681098,0.34
bathroom,,1.0,2,furniture_rooms,Noun,24 months,0.0,0.54
bathtub,,1.0,1,furniture_rooms,Noun,24 months,0.0,0.59
be,-0.0357596868428409,3.375,81,helping_verbs,Verb,24 months,1.2163953243244932,0.12
beans,0.2745409394779834,2.625,21,food_drink,Noun,24 months,0.965080896043587,0.44
bear,0.1641820418980394,3.0,12,animals,Noun,24 months,1.0986122886681098,0.73
because,-0.2984407897438439,2.6153846153846154,34,connecting_words,Function,24 months,0.9614111671546247,0.1
bed,-0.2625173905253404,2.0,16,furniture_rooms,Noun,24 months,0.6931471805599453,0.73
bee,0.725570587391527,3.0,9,animals,Noun,24 months,1.0986122886681098,0.66
before,-0.2995457525913853,2.0,14,time_words,Function,24 months,0.6931471805599453,0.08
behind,,1.0,1,locations,Function,24 months,0.0,0.17
belt,,1.0,1,clothing,Noun,24 months,0.0,0.27
better,0.3858331522392031,1.5,12,descriptive_words,Adjective,24 months,0.4054651081081644,0.27
big,0.0337054392556546,2.411764705882353,41,descriptive_words,Adjective,24 months,0.8803587226480917,0.61
bird,0.2779277538443003,2.0,12,animals,Noun,24 months,0.6931471805599453,0.79
bite,-0.1428206903732261,1.8571428571428568,13,action_words,Verb,24 months,0.6190392084062232,0.56
black,0.4229100525522852,5.5,11,descriptive_words,Adjective,24 months,1.7047480922384253,0.39
blanket,,1.3333333333333333,4,household,Noun,24 months,0.28768207245178085,0.71
blue,0.2840584206972784,1.4,7,descriptive_words,Adjective,24 months,0.3364722366212129,0.61
boat,,1.0,2,vehicles,Noun,24 months,0.0,0.68
book,0.3079696144763471,3.8,38,toys,Noun,24 months,1.33500106673234,0.87
boots,-0.6018520703149014,2.5,5,clothing,Noun,24 months,0.9162907318741551,0.66
bottle,0.2172770115500807,4.0,8,household,Noun,24 months,1.3862943611198906,0.65
bowl,0.1477023202475326,1.8333333333333333,11,household,Noun,24 months,0.6061358035703155,0.62
box,0.3907047905176254,1.5,9,household,Noun,24 months,0.4054651081081644,0.59
boy,0.215615231558111,2.125,17,people,Noun,24 months,0.7537718023763802,0.49
bread,-0.0615355086133077,2.5,10,food_drink,Noun,24 months,0.9162907318741551,0.63
break,,2.0,2,action_words,Verb,24 months,0.6931471805599453,0.42
bring,,1.0,3,action_words,Verb,24 months,0.0,0.32
broken,-0.9631118069737016,3.0,3,descriptive_words,Adjective,24 months,1.0986122886681098,0.54
brother,,1.0,3,people,Noun,24 months,0.0,0.31
brown,,2.0,4,descriptive_words,Adjective,24 months,0.6931471805599453,0.34
brush,,1.3333333333333333,4,household,Noun,24 months,0.28768207245178085,0.6
bucket,,1.0,3,household,Noun,24 months,0.0,0.37
bug,0.1476131508440191,8.0,8,animals,Noun,24 months,2.0794415416798357,0.61
build,,1.0,1,action_words,Verb,24 months,0.0,0.29
bump,,1.0,2,action_words,Verb,24 months,0.0,0.34
bunny,0.1282729287853492,3.25,13,animals,Noun,24 months,1.1786549963416462,0.69
but,-0.1018369921371968,4.269230769230769,111,connecting_words,Function,24 months,1.451433663290852,0.07
butter,0.2117935773249496,2.571428571428572,18,food_drink,Noun,24 months,0.9444616088408516,0.42
button,,1.0,1,clothing,Noun,24 months,0.0,0.53
buy,,2.0,2,action_words,Verb,24 months,0.6931471805599453,0.22
by,-0.6186167257579528,1.6666666666666667,10,locations,Function,24 months,0.5108256237659907,0.16
cake,,1.6666666666666667,5,food_drink,Noun,24 months,0.5108256237659907,0.7
camera,,1.0,1,household,Noun,24 months,0.0,0.35
candy,,1.0,2,food_drink,Noun,24 months,0.0,0.52
car,,1.0,2,vehicles,Noun,24 months,0.0,0.88
careful,0.2319629245174878,3.0,15,descriptive_words,Adjective,24 months,1.0986122886681098,0.32
carry,,1.0,1,action_words,Verb,24 months,0.0,0.39
cat,-0.4850436007856357,1.7777777777777777,16,animals,Noun,24 months,0.5753641449035618,0.82
catch,,1.0,1,action_words,Verb,24 months,0.0,0.38
cereal,0.6639830197305424,4.0,4,food_drink,Noun,24 months,1.3862943611198906,0.6
chair,0.5268015817806049,2.0,10,furniture_rooms,Noun,24 months,0.6931471805599453,0.71
cheese,0.2853035057414782,3.625,58,food_drink,Noun,24 months,1.2878542883066382,0.83
chocolate,,1.5,6,food_drink,Noun,24 months,0.4054651081081644,0.48
climb,,1.5,3,action_words,Verb,24 months,0.4054651081081644,0.39
clock,,1.0,1,household,Noun,24 months,0.0,0.48
close,,1.6,8,action_words,Verb,24 months,0.47000362924573563,0.48
coat,,1.0,1,clothing,Noun,24 months,0.0,0.59
coffee,,1.0,2,food_drink,Noun,24 months,0.0,0.48
cold,-0.3885307921569107,2.0,14,descriptive_words,Adjective,24 months,0.6931471805599453,0.68
comb,,1.6666666666666667,5,household,Noun,24 months,0.5108256237659907,0.39
cook,0.2008273749379815,5.076923076923077,66,action_words,Verb,24 months,1.6247053845648887,0.41
cookie,0.4027788887885105,1.8571428571428568,13,food_drink,Noun,24 months,0.6190392084062232,0.81
corn,0.0182519255263339,2.2222222222222223,20,food_drink,Noun,24 months,0.7985076962177716,0.46
could,0.1927534746608966,1.7692307692307692,23,helping_verbs,Verb,24 months,0.5705448584676129,0.04
cover,,1.0,1,action_words,Verb,24 months,0.0,0.21
cow,-0.9567606941793796,1.6666666666666667,10,animals,Noun,24 months,0.5108256237659907,0.74
cracker,0.1253549167437656,4.0,4,food_drink,Noun,24 months,1.3862943611198906,0.71
crib,,1.0,1,furniture_rooms,Noun,24 months,0.0,0.37
cry,0.0812679104738092,5.0,10,action_words,Verb,24 months,1.6094379124341003,0.52
cup,0.3285475037875873,2.8,14,household,Noun,24 months,1.0296194171811581,0.73
cut,0.3443213573038539,1.9,19,action_words,Verb,24 months,0.6418538861723947,0.31
cute,,1.6666666666666667,5,descriptive_words,Adjective,24 months,0.5108256237659907,0.31
daddy,0.2386872295363218,1.6666666666666667,10,people,Noun,24 months,0.5108256237659907,0.95
dance,,1.25,5,action_words,Verb,24 months,0.22314355131420976,0.53
day,,1.0,6,time_words,Noun,24 months,0.0,0.22
deer,,1.0,1,animals,Noun,24 months,0.0,0.32
diaper,0.3751290576252034,3.0,3,clothing,Noun,24 months,1.0986122886681098,0.73
did,0.1178474854598569,4.2,105,helping_verbs,Verb,24 months,1.4350845252893227,
dirty,-0.1203165086380624,3.5,7,descriptive_words,Adjective,24 months,1.252762968495368,0.59
dish,,1.0,1,household,Noun,24 months,0.0,0.28
do,0.2019080798336067,10.32258064516129,320,helping_verbs,Verb,24 months,2.334333791308626,0.43
doctor,,1.0,4,people,Noun,24 months,0.0,0.4
does,-0.0388835471906202,3.48,87,helping_verbs,Verb,24 months,1.247032293786383,0.09
dog,0.6599604525183143,1.6666666666666667,10,animals,Noun,24 months,0.5108256237659907,0.88
doll,0.351167523466444,1.7272727272727273,19,toys,Noun,24 months,0.5465437063680699,0.5
don't,0.0714806190129476,6.03030303030303,199,helping_verbs,Verb,24 months,1.7967972632580123,0.33
donkey,-0.2107099267607792,1.6666666666666667,5,animals,Noun,24 months,0.5108256237659907,0.26
donut,,1.5,3,food_drink,Noun,24 months,0.4054651081081644,0.31
door,-0.124375220720406,3.5,7,furniture_rooms,Noun,24 months,1.252762968495368,0.71
down,-0.0493925115633087,4.882352941176471,83,locations,Function,24 months,1.5856272637403819,0.67
draw,,1.0,2,action_words,Verb,24 months,0.0,0.39
dress,,1.6666666666666667,5,clothing,Noun,24 months,0.5108256237659907,0.41
drive,,1.0,2,action_words,Verb,24 months,0.0,0.4
duck,0.3905078919911867,2.5,5,animals,Noun,24 months,0.9162907318741551,0.79
dump,,1.0,1,action_words,Verb,24 months,0.0,0.21
each,,1.0,1,quantifiers,Function,24 months,0.0,0.05
eat,0.1752511690874265,3.3,66,action_words,Verb,24 months,1.1939224684724346,0.73
egg,-0.7976231482148386,3.0,6,food_drink,Noun,24 months,1.0986122886681098,0.64
elephant,0.6642319230163374,3.0,6,animals,Noun,24 months,1.0986122886681098,0.63
empty,,1.5,3,descriptive_words,Adjective,24 months,0.4054651081081644,0.36
every,,1.3333333333333333,4,quantifiers,Function,24 months,0.28768207245178085,0.08
eye,,1.5,3,body_parts,Noun,24 months,0.4054651081081644,0.87
face,0.3442527442277953,3.0,9,body_parts,Noun,24 months,1.0986122886681098,0.53
fall,0.6614334850509819,2.4,12,action_words,Verb,24 months,0.8754687373538999,0.55
farm,-0.388127133871367,2.0,20,places,Noun,24 months,0.6931471805599453,0.27
fast,,1.3333333333333333,4,descriptive_words,Adjective,24 months,0.28768207245178085,0.4
feed,-0.0969601267479843,2.0,8,action_words,Verb,24 months,0.6931471805599453,0.28
find,0.015839047627172,1.75,28,action_words,Verb,24 months,0.5596157879354227,0.37
fine,,1.0,2,descriptive_words,Adjective,24 months,0.0,0.14
finger,0.0892440089450098,3.0,6,body_parts,Noun,24 months,1.0986122886681098,0.65
finish,0.3366549028221377,2.333333333333333,7,action_words,Verb,24 months,0.8472978603872034,0.27
first,-0.2830721674423919,2.2222222222222223,20,descriptive_words,Adjective,24 months,0.7985076962177716,0.17
fit,-0.3895455676776645,2.0,10,action_words,Verb,24 months,0.6931471805599453,0.21
fix,-0.389020638375679,1.4,7,action_words,Verb,24 months,0.3364722366212129,0.41
flag,,2.0,2,outside,Noun,24 months,0.6931471805599453,0.3
flower,,1.0,1,outside,Noun,24 months,0.0,0.69
food,0.0526257432679571,3.4285714285714284,72,food_drink,Noun,24 months,1.2321436812926323,0.54
foot,-0.7518218277198995,1.75,7,body_parts,Noun,24 months,0.5596157879354227,0.72
for,0.0085683607804857,5.807692307692308,151,locations,Function,24 months,1.7591832987934424,0.15
fork,,1.5,3,household,Noun,24 months,0.4054651081081644,0.66
friend,0.3242075937192672,2.5,15,people,Noun,24 months,0.9162907318741551,0.33
full,,1.0,2,descriptive_words,Adjective,24 months,0.0,0.27
game,,1.0,1,toys,Noun,24 months,0.0,0.32
garden,,2.0,2,outside,Noun,24 months,0.6931471805599453,0.23
get,0.0736051968299659,4.04,101,action_words,Verb,24 months,1.3962446919730587,0.46
giraffe,,1.0,1,animals,Noun,24 months,0.0,0.52
girl,0.103694031372805,1.6363636363636365,18,people,Noun,24 months,0.49247648509779424,0.44
give,0.30193772711836,1.7333333333333334,26,action_words,Verb,24 months,0.550046336919272,0.37
glasses,,1.0,1,household,Noun,24 months,0.0,0.51
go,0.1227537642458453,6.0,180,action_words,Verb,24 months,1.791759469228055,0.75
gonna,0.0207703081535578,5.56,139,helping_verbs,Verb,24 months,1.715598108262491,
good,0.1641587275437505,3.8846153846153846,101,descriptive_words,Adjective,24 months,1.3570239788197773,0.47
gotta,,1.1,11,helping_verbs,Verb,24 months,0.09531017980432493,
grandma,,1.0,1,people,Noun,24 months,0.0,0.82
grapes,0.4521497800149474,3.333333333333333,10,food_drink,Noun,24 months,1.203972804325936,0.61
green,0.4410382042402308,1.818181818181818,20,descriptive_words,Adjective,24 months,0.5978370007556203,0.49
hafta,-0.33532430609279,1.9333333333333331,29,helping_verbs,Verb,24 months,0.6592456288842639,
hair,0.4640141279106743,3.0,12,body_parts,Noun,24 months,1.0986122886681098,0.75
hamburger,0.2124470881072754,2.0,4,food_drink,Noun,24 months,0.6931471805599453,0.39
hand,,1.5,3,body_parts,Noun,24 months,0.4054651081081644,0.71
happy,0.5992177182573938,4.0,4,descriptive_words,Adjective,24 months,1.3862943611198906,0.5
hard,,1.2,6,descriptive_words,Adjective,24 months,0.1823215567939546,0.24
hat,0.2853011568622436,2.833333333333333,17,clothing,Noun,24 months,1.041453874828161,0.79
hate,-0.5015946436601798,4.0,8,action_words,Verb,24 months,1.3862943611198906,0.04
have,0.0874792574862628,5.4375,174,action_words,Verb,24 months,1.6933193964148026,0.36
he,0.0403092728025226,10.523809523809524,221,pronouns,Function,24 months,2.35364026379433,0.2
head,0.6475120160269597,1.7142857142857142,12,body_parts,Noun,24 months,0.5389965007326869,0.7
hear,0.370315006845892,3.333333333333333,20,action_words,Verb,24 months,1.203972804325936,0.3
heavy,0.5781132212069526,4.0,4,descriptive_words,Adjective,24 months,1.3862943611198906,0.43
help,0.4910595076066423,1.7857142857142858,25,action_words,Verb,24 months,0.5798184952529422,0.6
her,0.2944239202508371,6.055555555555555,109,pronouns,Function,24 months,1.800976124332979,0.14
here,0.0364525011275126,5.482758620689655,159,locations,Function,24 months,1.7016083722337574,0.41
high,-0.7562187602964182,2.0,4,descriptive_words,Adjective,24 months,0.6931471805599453,0.32
him,0.1210428694785912,3.5294117647058822,60,pronouns,Function,24 months,1.2611312181658845,0.12
his,0.1288443565419489,4.0,60,pronouns,Function,24 months,1.3862943611198906,0.12
hit,-0.0143493564827526,2.0,14,action_words,Verb,24 months,0.6931471805599453,0.42
hold,0.3573193454443448,1.5714285714285714,11,action_words,Verb,24 months,0.4519851237430572,0.4
home,-0.129095481317914,3.933333333333333,59,places,Noun,24 months,1.3694872428035094,0.66
horse,0.1203889889628444,2.5,10,animals,Noun,24 months,0.9162907318741551,0.7
hot,0.3186127190132152,2.75,33,descriptive_words,Adjective,24 months,1.0116009116784799,0.75
house,,1.25,5,places,Noun,24 months,0.22314355131420976,0.57
how,-0.0335512674305908,3.3157894736842106,63,question_words,Function,24 months,1.1986957472250923,0.13
hug,0.8314454760081068,5.5,11,action_words,Verb,24 months,1.7047480922384253,0.63
hungry,0.1548355841026672,2.7142857142857144,19,descriptive_words,Adjective,24 months,0.9985288301111273,0.46
hurt,0.3367699718517756,2.2,11,descriptive_words,Adjective,24 months,0.7884573603642703,0.44
ice,0.1101855540771707,3.5,21,food_drink,Noun,24 months,1.252762968495368,0.53
if,0.0720389415402336,2.952380952380953,62,connecting_words,Function,24 months,1.0826119473216689,0.04
inside,-0.3595197166665968,1.6,8,locations,Function,24 months,0.47000362924573563,
into,-0.6687416131687488,1.5714285714285714,11,locations,Function,24 months,0.4519851237430572,0.08
is,0.0960092541403765,14.612903225806452,453,helping_verbs,Verb,24 months,2.6819049209978876,0.2
it,0.1292697774812296,16.454545454545453,543,pronouns,Function,24 months,2.800601758467455,0.3
jacket,,1.0,1,clothing,Noun,24 months,0.0,0.55
jar,,2.0,2,household,Noun,24 months,0.6931471805599453,0.22
jelly,,1.0,2,food_drink,Noun,24 months,0.0,0.25
juice,0.2594970766114267,3.25,52,food_drink,Noun,24 months,1.1786549963416462,0.77
jump,0.1561036443210977,11.333333333333334,34,action_words,Verb,24 months,2.4277482359480516,0.59
keys,,1.0,1,household,Noun,24 months,0.0,0.63
kiss,0.8948691466826146,4.5,9,action_words,Verb,24 months,1.5040773967762742,0.67
kitchen,-0.195052676293229,2.142857142857143,15,furniture_rooms,Noun,24 months,0.7621400520468967,0.5
kitty,0.2574947042636589,2.5,5,animals,Noun,24 months,0.9162907318741551,0.7
knee,,2.0,2,body_parts,Noun,24 months,0.6931471805599453,0.59
knife,-0.4150888398193981,2.0,6,household,Noun,24 months,0.6931471805599453,0.41
knock,,1.5,3,action_words,Verb,24 months,0.4054651081081644,0.37
lady,0.0175677303359504,4.0,8,people,Noun,24 months,1.3862943611198906,0.25
lamb,,1.0,1,animals,Noun,24 months,0.0,0.31
last,-0.1207495940091426,1.875,15,descriptive_words,Adjective,24 months,0.6286086594223741,0.09
later,,1.3333333333333333,4,time_words,Function,24 months,0.28768207245178085,0.25
lick,,1.0,2,action_words,Verb,24 months,0.0,0.26
light,0.3556007833598004,2.333333333333333,7,household,Noun,24 months,0.8472978603872034,0.65
like,0.1494058615469896,8.40625,269,action_words,Verb,24 months,2.1289754768021125,0.36
lion,,1.0,2,animals,Noun,24 months,0.0,0.58
listen,,1.5,3,action_words,Verb,24 months,0.4054651081081644,0.25
little,-0.0059904789511256,3.863636363636364,85,descriptive_words,Adjective,24 months,1.3516088031320008,0.38
long,-0.3399398561183127,2.0,16,descriptive_words,Adjective,24 months,0.6931471805599453,0.14
look,0.0932841716959324,7.32,183,action_words,Verb,24 months,1.9906103279732201,0.49
loud,,2.0,2,descriptive_words,Adjective,24 months,0.6931471805599453,0.34
love,0.3781212206464016,1.625,13,action_words,Verb,24 months,0.4855078157817008,0.54
mad,,1.0,2,descriptive_words,Adjective,24 months,0.0,0.23
mailman,,1.0,1,people,Noun,24 months,0.0,0.17
make,0.46487908072101,3.5789473684210527,68,action_words,Verb,24 months,1.2750687260096663,0.28
man,-0.824315407325788,2.5,5,people,Noun,24 months,0.9162907318741551,0.36
me,0.1350069699751912,5.206896551724138,151,pronouns,Function,24 months,1.6499840068284504,0.59
meat,,1.3333333333333333,4,food_drink,Noun,24 months,0.28768207245178085,0.37
milk,0.334937837215074,3.142857142857143,22,food_drink,Noun,24 months,1.1451323043030026,0.81
mine,0.1292225215525636,4.0,8,pronouns,Function,24 months,1.3862943611198906,0.71
mittens,,1.0,1,clothing,Noun,24 months,0.0,0.33
mommy,-0.1092463263074313,3.230769230769231,42,people,Noun,24 months,1.1727202608218317,0.96
monkey,-0.4350492631749556,1.6666666666666667,10,animals,Noun,24 months,0.5108256237659907,0.69
moon,,1.4285714285714286,10,outside,Noun,24 months,0.3566749439387324,0.67
moose,-0.0588678769851926,3.8333333333333335,23,animals,Noun,24 months,1.3437347467010947,0.24
more,0.148195663391437,3.571428571428572,75,quantifiers,Function,24 months,1.2729656758128876,0.69
morning,0.3307982346886144,1.8,9,time_words,Noun,24 months,0.5877866649021191,0.29
mouse,,1.0,2,animals,Noun,24 months,0.0,0.55
mouth,-0.4129469346889259,3.3,33,body_parts,Noun,24 months,1.1939224684724346,0.72
much,0.1058123464083215,2.0,18,quantifiers,Function,24 months,0.6931471805599453,0.14
muffin,0.3169838370576852,6.0,12,food_drink,Noun,24 months,1.791759469228055,0.39
my,0.1775747453219154,5.409090909090909,119,pronouns,Function,24 months,1.6880810397532136,0.45
myself,,1.0,2,pronouns,Function,24 months,0.0,0.13
need,0.340964530818689,3.3,33,helping_verbs,Verb,24 months,1.1939224684724346,
new,-0.0321482490481208,1.4545454545454546,16,descriptive_words,Adjective,24 months,0.3746934494414107,0.22
nice,0.2890276588384858,1.4545454545454546,16,descriptive_words,Adjective,24 months,0.3746934494414107,0.38
night,,1.375,11,time_words,Noun,24 months,0.3184537311185346,0.44
none,,1.0,2,quantifiers,Function,24 months,0.0,0.14
nose,-0.6851439954418109,1.6666666666666667,5,body_parts,Noun,24 months,0.5108256237659907,0.85
not,0.0911999867507718,4.8,120,quantifiers,Function,24 months,1.5686159179138452,0.23
now,0.2739973587620363,2.869565217391304,66,time_words,Function,24 months,1.0541605260972757,0.35
nuts,0.2562190537818377,5.0,5,food_drink,Noun,24 months,1.6094379124341003,0.31
of,0.0499964780725011,7.133333333333334,214,locations,Function,24 months,1.9647786333596962,0.09
off,0.517156683005733,3.25,39,locations,Function,24 months,1.1786549963416462,0.6
old,0.6614003551751912,1.75,7,descriptive_words,Adjective,24 months,0.5596157879354227,0.16
on,0.286772181387849,6.32258064516129,196,locations,Function,24 months,1.844127454745371,0.59
open,0.0004786362749827,2.1,21,action_words,Verb,24 months,0.7419373447293773,0.64
other,-0.1346755054010357,2.117647058823529,36,quantifiers,Function,24 months,0.7503055943998937,0.17
our,0.4122137898857457,2.090909090909091,23,pronouns,Function,24 months,0.7375989431307791,0.08
out,0.0828234829080491,2.88,72,locations,Function,24 months,1.0577902941478545,0.53
outside,,1.4,7,places,Noun,24 months,0.3364722366212129,0.69
oven,,1.6666666666666667,5,furniture_rooms,Noun,24 months,0.5108256237659907,0.31
