Word	Burstiness	Frequency	Interevent Intervals	Event Onsets	POS Tag	Transcript
asleep	0.3116635786017361	5	[1710, 6380, 2060, 28120]	[1997420, 1999130, 2005510, 2007570, 2035690]	ADJ	A1
like	0.3237437276161327	99	[22065, 20670, 1760, 4060, 9155, 15635, 69050, 116665, 84302, 70873, 3655, 209319, 72109, 158027, 354030, 73980, 1880, 124220, 314614, 3524, 0, 8704, 60792, 5883, 48553, 18852, 99670, 124928, 22650, 3320, 119925, 88665, 388622, 230162, 39456, 78040, 5447, 232541, 85980, 3798, 6502, 23128, 107321, 186998, 0, 9461, 215016, 0, 19553, 12568, 11590, 1432, 30877, 99598, 48070, 4245, 3419, 310844, 430240, 20677, 12058, 125359, 51330, 57972, 7993, 0, 40287, 51136, 14522, 63600, 1148, 20468, 0, 7610, 11044, 2455, 13525, 0, 14706, 119250, 19655, 75929, 447251, 154004, 145193, 36492, 223545, 278020, 225782, 238013, 24195, 138846, 90985, 168629, 37380, 663468, 1454367, 31310]	[671975, 694040, 714710, 716470, 720530, 729685, 745320, 814370, 931035, 1015337, 1086210, 1089865, 1299184, 1371293, 1529320, 1883350, 1957330, 1959210, 2083430, 2398044, 2401568, 2401568, 2410272, 2471064, 2476947, 2525500, 2544352, 2644022, 2768950, 2791600, 2794920, 2914845, 3003510, 3392132, 3622294, 3661750, 3739790, 3745237, 3977778, 4063758, 4067556, 4074058, 4097186, 4204507, 4391505, 4391505, 4400966, 4615982, 4615982, 4635535, 4648103, 4659693, 4661125, 4692002, 4791600, 4839670, 4843915, 4847334, 5158178, 5588418, 5609095, 5621153, 5746512, 5797842, 5855814, 5863807, 5863807, 5904094, 5955230, 5969752, 6033352, 6034500, 6054968, 6054968, 6062578, 6073622, 6076077, 6089602, 6089602, 6104308, 6223558, 6243213, 6319142, 6766393, 6920397, 7065590, 7102082, 7325627, 7603647, 7829429, 8067442, 8091637, 8230483, 8321468, 8490097, 8527477, 9190945, 10645312, 10676622]	INTJ	A1
might	0.0537383323365573	6	[913200, 1262858, 3381305, 736985, 6293]	[2754550, 3667750, 4930608, 8311913, 9048898, 9055191]	AUX	A1
pulling	0.07635042404568122	3	[7629432, 1034988]	[866270, 8495702, 9530690]	VERB	A1
won't	0.3731454550958708	12	[3236783, 1878171, 184160, 12696, 274457, 1846623, 108165, 5298, 35389, 15, 71168]	[1844700, 5081483, 6959654, 7143814, 7156510, 7430967, 9277590, 9385755, 9391053, 9426442, 9426457, 9497625]	AUX	A1
granola	-0.006032854173000826	3	[11988, 2092]	[5851754, 5863742, 5865834]	PROPN	A1
help	0.09908056499157908	8	[1014140, 303375, 8580, 1671122, 3428968, 585304, 531748]	[580525, 1594665, 1898040, 1906620, 3577742, 7006710, 7592014, 8123762]	VERB	A1
why	0.21430623445295577	31	[1970775, 2390, 790, 620, 4773, 43839, 456492, 273504, 84247, 1292, 5405, 168881, 737259, 897608, 64535, 373877, 132320, 160366, 615912, 598367, 340547, 314878, 383445, 45845, 79710, 655546, 157808, 4517, 161568, 27674]	[894635, 2865410, 2867800, 2868590, 2869210, 2873983, 2917822, 3374314, 3647818, 3732065, 3733357, 3738762, 3907643, 4644902, 5542510, 5607045, 5980922, 6113242, 6273608, 6889520, 7487887, 7828434, 8143312, 8526757, 8572602, 8652312, 9307858, 9465666, 9470183, 9631751, 9659425]	SCONJ	A1
excuse	0.1725186771689116	4	[3395, 1149190, 390685]	[211910, 215305, 1364495, 1755180]	VERB	A1
don't	0.12017780141476987	115	[58765, 41640, 88190, 166644, 38141, 53075, 55010, 3104, 21260, 31507, 37374, 12300, 4677, 45367, 91895, 197896, 178230, 14165, 2425, 26120, 39030, 265895, 116070, 37246, 204084, 175811, 34764, 57740, 17630, 3220, 6480, 197156, 416128, 96732, 77134, 4107, 95531, 23689, 6758, 61525, 268152, 76992, 3196, 0, 121225, 33639, 69008, 73768, 47365, 69562, 142205, 0, 104331, 191415, 4100, 152110, 0, 33074, 550350, 69143, 0, 0, 25967, 95258, 20732, 82680, 6860, 123386, 14962, 40000, 136423, 0, 15475, 144710, 37395, 0, 0, 122195, 0, 18330, 8604, 5752, 146071, 361537, 65972, 202358, 30443, 9678, 102689, 54801, 96321, 6610, 141750, 31725, 158843, 10490, 24195, 136286, 2560, 230009, 26865, 284365, 16048, 25924, 15572, 555036, 167735, 148707, 45898, 15311, 10479, 122314, 60553, 75627]	[635275, 694040, 735680, 823870, 990514, 1028655, 1081730, 1136740, 1139844, 1161104, 1192611, 1229985, 1242285, 1246962, 1292329, 1384224, 1582120, 1760350, 1774515, 1776940, 1803060, 1842090, 2107985, 2224055, 2261301, 2465385, 2641196, 2675960, 2733700, 2751330, 2754550, 2761030, 2958186, 3374314, 3471046, 3548180, 3552287, 3647818, 3671507, 3678265, 3739790, 4007942, 4084934, 4088130, 4088130, 4209355, 4242994, 4312002, 4385770, 4433135, 4502697, 4644902, 4644902, 4749233, 4940648, 4944748, 5096858, 5096858, 5129932, 5680282, 5749425, 5749425, 5749425, 5775392, 5870650, 5891382, 5974062, 5980922, 6104308, 6119270, 6159270, 6295693, 6295693, 6311168, 6455878, 6493273, 6493273, 6493273, 6615468, 6615468, 6633798, 6642402, 6648154, 6794225, 7155762, 7221734, 7424092, 7454535, 7464213, 7566902, 7621703, 7718024, 7724634, 7866384, 7898109, 8056952, 8067442, 8091637, 8227923, 8230483, 8460492, 8487357, 8771722, 8787770, 8813694, 8829266, 9384302, 9552037, 9700744, 9746642, 9761953, 9772432, 9894746, 9955299, 10030926]	VERB	A1
