Word,Mean_Burstiness,Mean_Frequency,Log_Mean_Frequency,Lexical_Class,WordBank
I,0.1119030474163519,11.92074592074592,2.4782802369231147,Function,0.43
TV,NAN,1.0,0.0,Noun,0.63
a,0.09472283372097146,7.149532710280374,1.9670469993646296,Function,0.29
about,-0.09946613412829117,1.5144508670520231,0.4150529092633179,Function,0.06
above,NAN,1.0,0.0,Function,0.07
after,-0.009366864073765154,1.4157303370786516,0.3476455372193381,Function,0.17
airplane,-0.7380409222256885,3.142857142857143,1.1451323043030026,Noun,0.72
all,0.0510795908855607,2.5245901639344264,0.926078738240318,Function,0.32
am,0.3211116777149265,1.3296703296703296,0.284931039079891,Verb,0.17
an,0.1338142985908189,1.4556962025316456,0.37548427589622857,Function,0.04
and,0.10871203207946081,5.682382133995037,1.7373705346016024,Function,0.28
animal,-0.09050537190648271,2.0,0.6931471805599453,Noun,0.49
another,0.07851649655867224,1.3768115942028984,0.31977038700328136,Function,0.22
ant,NAN,2.0,0.6931471805599453,Noun,0.42
any,-0.00032819202924067037,1.3663366336633664,0.31213316831594534,Function,0.12
apple,NAN,1.0,0.0,Noun,0.84
applesauce,0.0457421236836847,3.0,1.0986122886681098,Noun,0.43
are,-0.04050168296698322,3.7716535433070866,1.327513510952324,Verb,0.14
arm,-0.3858594490092934,1.44,0.36464311358790924,Noun,0.67
around,0.19197769789155172,1.4027777777777777,0.3384543978252041,Function,0.13
asleep,0.3116635786017361,2.25,0.8109302162163288,Adjective,0.46
at,-0.018270299009755697,2.284518828451883,0.8261554238133945,Function,0.19
aunt,0.414213562373095,1.6666666666666667,0.5108256237659907,Noun,0.42
awake,0.3745077807519739,1.1818181818181819,0.16705408466316624,Adjective,0.35
away,-0.48689637469229724,1.5569620253164558,0.44273650290539607,Function,0.29
baby,-0.16601545443824298,1.990566037735849,0.6884190393639993,Noun,0.87
babysitter,-0.5952355005163541,3.0,1.0986122886681098,Noun,0.11
back,-0.07175050098959733,1.981651376146789,0.6839305254550213,Function,0.34
bad,-0.11031762792018045,2.12,0.7514160886839212,Adjective,0.4
ball,0.1094282310883006,2.2708333333333335,0.8201468713212529,Noun,0.95
banana,-0.3290901201668795,3.125,1.1394342831883648,Noun,0.88
basement,NAN,1.0,0.0,Noun,0.14
basket,NAN,1.0769230769230769,0.07410797215372183,Noun,0.38
bathroom,NAN,1.04,0.03922071315328133,Noun,0.54
bathtub,NAN,1.1538461538461537,0.14310084364067324,Noun,0.59
be,-0.10095510462876063,2.38,0.8671004876833833,Verb,0.12
beach,-0.1970041372506284,1.6,0.47000362924573563,Noun,0.32
beans,NAN,1.25,0.22314355131420976,Noun,0.44
bear,-0.4929873834486833,2.2,0.7884573603642703,Noun,0.73
