Term,Category,WordBank,Lexical_Class
alligator,animals,0.39,Noun
animal,animals,0.49,Noun
ant,animals,0.42,Noun
bear,animals,0.73,Noun
bee,animals,0.66,Noun
bird,animals,0.79,Noun
bug,animals,0.61,Noun
bunny,animals,0.69,Noun
butterfly,animals,0.58,Noun
cat,animals,0.82,Noun
chicken,animals,0.61,Noun
cow,animals,0.74,Noun
deer,animals,0.32,Noun
dog,animals,0.88,Noun
donkey,animals,0.26,Noun
duck,animals,0.79,Noun
elephant,animals,0.63,Noun
fish,animals,0.77,Noun
frog,animals,0.63,Noun
giraffe,animals,0.52,Noun
goose,animals,0.29,Noun
hen,animals,0.16,Noun
horse,animals,0.7,Noun
kitty,animals,0.7,Noun
lamb,animals,0.31,Noun
lion,animals,0.58,Noun
monkey,animals,0.69,Noun
moose,animals,0.24,Noun
mouse,animals,0.55,Noun
owl,animals,0.51,Noun
penguin,animals,0.39,Noun
pig,animals,0.69,Noun
pony,animals,0.25,Noun
puppy,animals,0.65,Noun
rooster,animals,0.25,Noun
sheep,animals,0.55,Noun
squirrel,animals,0.45,Noun
teddybear,animals,0.5,Noun
tiger,animals,0.52,Noun
turkey,animals,0.3,Noun
turtle,animals,0.59,Noun
wolf,animals,0.23,Noun
zebra,animals,0.44,Noun
airplane,vehicles,0.72,Noun
bicycle,vehicles,0.63,Noun
boat,vehicles,0.68,Noun
bus,vehicles,0.74,Noun
car,vehicles,0.88,Noun
firetruck,vehicles,0.5,Noun
helicopter,vehicles,0.44,Noun
motorcycle,vehicles,0.41,Noun
sled,vehicles,0.18,Noun
stroller,vehicles,0.46,Noun
tractor,vehicles,0.45,Noun
train,vehicles,0.75,Noun
tricycle,vehicles,0.18,Noun
truck,vehicles,0.78,Noun
ball,toys,0.95,Noun
balloon,toys,0.81,Noun
bat,toys,0.34,Noun
block,toys,0.59,Noun
book,toys,0.87,Noun
bubbles,toys,0.82,Noun
chalk,toys,0.32,Noun
crayon,toys,0.54,Noun
doll,toys,0.5,Noun
game,toys,0.32,Noun
glue,toys,0.14,Noun
pen,toys,0.43,Noun
pencil,toys,0.34,Noun
play dough,toys,0.36,Noun
present,toys,0.42,Noun
puzzle,toys,0.48,Noun
story,toys,0.47,Noun
toy,toys,0.65,Noun
apple,food_drink,0.84,Noun
applesauce,food_drink,0.43,Noun
banana,food_drink,0.88,Noun
beans,food_drink,0.44,Noun
bread,food_drink,0.63,Noun
butter,food_drink,0.42,Noun
cake,food_drink,0.7,Noun
candy,food_drink,0.52,Noun
carrots,food_drink,0.52,Noun
cereal,food_drink,0.6,Noun
cheerios,food_drink,0.49,Noun
cheese,food_drink,0.83,Noun
chicken,food_drink,0.58,Noun
chocolate,food_drink,0.48,Noun
coffee,food_drink,0.48,Noun
coke,food_drink,0.19,Noun
cookie,food_drink,0.81,Noun
corn,food_drink,0.46,Noun
cracker,food_drink,0.71,Noun
donut,food_drink,0.31,Noun
drink,food_drink,0.6,Verb
egg,food_drink,0.64,Noun
fish,food_drink,0.53,Noun
food,food_drink,0.54,Noun
french fries,food_drink,0.52,Noun
grapes,food_drink,0.61,Noun
green beans,food_drink,0.29,Noun
gum,food_drink,0.21,Noun
hamburger,food_drink,0.39,Noun
ice,food_drink,0.53,Noun
ice cream,food_drink,0.64,Noun
jello,food_drink,0.17,Noun
jelly,food_drink,0.25,Noun
juice,food_drink,0.77,Noun
lollipop,food_drink,0.27,Noun
meat,food_drink,0.37,Noun
melon,food_drink,0.29,Noun
milk,food_drink,0.81,Noun
muffin,food_drink,0.39,Noun
noodles,food_drink,0.51,Noun
nuts,food_drink,0.31,Noun
orange,food_drink,0.61,Adjective
pancake,food_drink,0.5,Noun
peas,food_drink,0.47,Noun
peanut butter,food_drink,0.46,Noun
pickle,food_drink,0.33,Noun
pizza,food_drink,0.69,Noun
popcorn,food_drink,0.45,Noun
popsicle,food_drink,0.35,Noun
potato chip,food_drink,0.41,Noun
potato,food_drink,0.4,Noun
pretzel,food_drink,0.32,Noun
pudding,food_drink,0.16,Noun
pumpkin,food_drink,0.38,Noun
raisin,food_drink,0.43,Noun
salt,food_drink,0.22,Noun
sandwich,food_drink,0.43,Noun
sauce,food_drink,0.31,Noun
soda/pop,food_drink,0.24,Noun
soup,food_drink,0.47,Noun
spaghetti,food_drink,0.46,Noun
strawberry,food_drink,0.55,Noun
toast,food_drink,0.52,Noun
tuna,food_drink,0.14,Noun
vanilla,food_drink,0.11,Noun
vitamins,food_drink,0.25,Noun
water,food_drink,0.79,Noun
yogurt,food_drink,0.61,Noun
beads,clothing,0.2,Noun
belt,clothing,0.27,Noun
bib,clothing,0.49,Noun
boots,clothing,0.66,Noun
button,clothing,0.53,Noun
coat,clothing,0.59,Noun
diaper,clothing,0.73,Noun
dress,clothing,0.41,Noun
gloves,clothing,0.34,Noun
hat,clothing,0.79,Noun
jacket,clothing,0.55,Noun
jeans,clothing,0.28,Noun
mittens,clothing,0.33,Noun
necklace,clothing,0.35,Noun
pajamas,clothing,0.58,Noun
pants,clothing,0.66,Noun
scarf,clothing,0.16,Noun
shirt,clothing,0.65,Noun
shoe,clothing,0.89,Noun
shorts,clothing,0.42,Noun
slipper,clothing,0.31,Noun
sneaker,clothing,0.18,Noun
snowsuit,clothing,0.11,Noun
